1.005,0.73,-0.186,biceps-curl,,,
0.973,0.756,-0.121,biceps-curl,,,
0.934,0.808,-0.139,biceps-curl,,,
0.895,0.816,-0.194,biceps-curl,,,
0.864,0.808,-0.248,biceps-curl,,,
0.808,0.848,-0.344,biceps-curl,,,
0.746,0.902,-0.196,biceps-curl,,,
0.698,0.927,-0.245,biceps-curl,,,
0.644,0.928,-0.278,biceps-curl,,,
0.56,0.957,-0.258,biceps-curl,,,
0.495,0.967,-0.227,biceps-curl,,,
0.446,0.947,-0.336,biceps-curl,,,
0.392,0.964,-0.338,biceps-curl,,,
0.311,0.928,-0.329,biceps-curl,,,
0.237,0.9,-0.374,biceps-curl,,,
0.154,0.896,-0.346,biceps-curl,,,
0.068,0.846,-0.324,biceps-curl,,,
0.018,0.832,-0.332,biceps-curl,,,
-0.039,0.808,-0.371,biceps-curl,,,
-0.108,0.794,-0.355,biceps-curl,,,
-0.167,0.786,-0.299,biceps-curl,,,
-0.227,0.719,-0.291,biceps-curl,,,
-0.274,0.693,-0.301,biceps-curl,,,
-0.334,0.63,-0.335,biceps-curl,,,
-0.414,0.513,-0.342,biceps-curl,,,
-0.472,0.474,-0.36,biceps-curl,,,
-0.497,0.424,-0.408,biceps-curl,,,
-0.517,0.366,-0.423,biceps-curl,,,
-0.545,0.283,-0.399,biceps-curl,,,
-0.564,0.241,-0.421,biceps-curl,,,
-0.572,0.236,-0.444,biceps-curl,,,
-0.588,0.201,-0.374,biceps-curl,,,
-0.604,0.184,-0.334,biceps-curl,,,
-0.612,0.18,-0.378,biceps-curl,,,
-0.616,0.196,-0.417,biceps-curl,,,
-0.619,0.208,-0.421,biceps-curl,,,
-0.621,0.193,-0.407,biceps-curl,,,
-0.613,0.231,-0.464,biceps-curl,,,
-0.616,0.256,-0.509,biceps-curl,,,
-0.642,0.237,-0.478,biceps-curl,,,
-0.652,0.271,-0.471,biceps-curl,,,
-0.624,0.297,-0.493,biceps-curl,,,
-0.624,0.337,-0.443,biceps-curl,,,
-0.614,0.39,-0.4,biceps-curl,,,
-0.575,0.422,-0.443,biceps-curl,,,
-0.542,0.479,-0.422,biceps-curl,,,
-0.529,0.511,-0.415,biceps-curl,,,
-0.492,0.547,-0.423,biceps-curl,,,
-0.467,0.566,-0.502,biceps-curl,,,
-0.438,0.607,-0.536,biceps-curl,,,
-0.423,0.657,-0.534,biceps-curl,,,
-0.411,0.667,-0.513,biceps-curl,,,
-0.36,0.698,-0.442,biceps-curl,,,
-0.356,0.728,-0.471,biceps-curl,,,
-0.286,0.721,-0.456,biceps-curl,,,
-0.232,0.761,-0.456,biceps-curl,,,
-0.184,0.831,-0.456,biceps-curl,,,
-0.161,0.832,-0.44,biceps-curl,,,
-0.114,0.802,-0.265,biceps-curl,,,
-0.067,0.889,-0.442,biceps-curl,,,
-0.02,0.911,-0.456,biceps-curl,,,
0.041,0.876,-0.42,biceps-curl,,,
0.076,0.942,-0.297,biceps-curl,,,
0.135,0.938,-0.362,biceps-curl,,,
0.191,0.923,-0.363,biceps-curl,,,
0.265,0.946,-0.406,biceps-curl,,,
0.267,0.933,-0.41,biceps-curl,,,
0.32,0.959,-0.352,biceps-curl,,,
0.342,0.938,-0.312,biceps-curl,,,
0.362,0.904,-0.333,biceps-curl,,,
0.408,0.879,-0.298,biceps-curl,,,
0.446,0.894,-0.308,biceps-curl,,,
0.483,0.866,-0.309,biceps-curl,,,
0.533,0.837,-0.225,biceps-curl,,,
0.577,0.827,-0.169,biceps-curl,,,
0.627,0.789,-0.234,biceps-curl,,,
0.667,0.763,-0.16,biceps-curl,,,
0.689,0.769,-0.126,biceps-curl,,,
